Time,Roll,Pitch,Data,Yaw,x,y,z,roll,pitch,yaw
"2.707 sec",-0.01289593,-0.101234,2.776445,-0.08386195,2.35081434249878,3.03055191040039,-7.6046290397644,0.9123244,0.1202397,0.03767008
"2.708 sec",-0.01288753,-0.1012351,2.776445,-0.08369565,2.35203909873962,3.03234004974365,-7.6049747467041,0.9122413,0.1185015,0.03664296
"2.709 sec",-0.01287917,-0.1012361,2.776444,-0.08353019,2.35326218605042,3.03412747383118,-7.60532426834106,0.9121585,0.116249,0.03557029
"2.71 sec",-0.01287086,-0.1012372,2.776445,-0.0833658,2.35448408126831,3.03591370582581,-7.60567808151245,0.9120764,0.1135461,0.03446065
"2.711 sec",-0.01286261,-0.1012382,2.776445,-0.08320236,2.35570454597473,3.0376992225647,-7.6060357093811,0.9119946,0.1104512,0.03332178
"2.712 sec",-0.01285438,-0.1012393,2.776445,-0.08303964,2.35692381858826,3.03948354721069,-7.60639715194702,0.9119133,0.1070172,0.03216067
"2.713 sec",-0.0128462,-0.1012403,2.776444,-0.08287776,2.35814189910889,3.04126715660095,-7.60676240921021,0.9118323,0.1032925,0.03098356
"2.714 sec",-0.01283806,-0.1012413,2.776445,-0.08271658,2.35935854911804,3.04304981231689,-7.60713195800781,0.9117517,0.09932117,0.02979606
"2.715 sec",-0.01282994,-0.1012424,2.776445,-0.08255601,2.36057424545288,3.04483151435852,-7.60750579833984,0.9116715,0.09514306,0.02860318
"2.716 sec",-0.01282185,-0.1012434,2.776445,-0.08239591,2.36178874969482,3.04661273956299,-7.60788297653198,0.9115914,0.09079435,0.0274094
"2.717 sec",-0.01281379,-0.1012444,2.776444,-0.08223641,2.36300206184387,3.04839301109314,-7.6082649230957,0.9115117,0.08630779,0.02621866
"2.718 sec",-0.01280575,-0.1012454,2.776445,-0.08207738,2.3642144203186,3.05017256736755,-7.60865020751953,0.9114321,0.08171298,0.02503448
"2.719 sec",-0.01279774,-0.1012464,2.776445,-0.08191872,2.36542582511902,3.05195140838623,-7.60903978347778,0.9113528,0.07703658,0.02385996
"2.72 sec",-0.01278974,-0.1012474,2.776445,-0.08176041,2.36663627624512,3.05372953414917,-7.6094331741333,0.9112737,0.07230259,0.02269781
"2.721 sec",-0.01278175,-0.1012484,2.776444,-0.08160245,2.36784601211548,3.05550718307495,-7.60983085632324,0.9111947,0.06753255,0.0215504
"2.722 sec",-0.01277377,-0.1012494,2.776445,-0.08144462,2.36905479431152,3.05728435516357,-7.61023283004761,0.9111158,0.06274574,0.0204198
"2.723 sec",-0.01276582,-0.1012504,2.776445,-0.08128715,2.37026286125183,3.05906081199646,-7.61063814163208,0.911037,0.05795939,0.01930778
"2.724 sec",-0.01275787,-0.1012514,2.776444,-0.08112979,2.3714702129364,3.06083703041077,-7.61104822158813,0.9109583,0.0531888,0.01821585
"2.725 sec",-0.01274992,-0.1012524,2.776445,-0.08097267,2.37267684936523,3.06261253356934,-7.6114616394043,0.9108798,0.04844757,0.01714531
"2.726 sec",-0.012742,-0.1012534,2.776445,-0.08081579,2.37388300895691,3.06438779830933,-7.61187982559204,0.9108014,0.04374767,0.01609723
"2.727 sec",-0.01273407,-0.1012544,2.776444,-0.08065891,2.37508869171143,3.06616282463074,-7.61230182647705,0.9107229,0.03909966,0.0150725
"2.728 sec",-0.01272615,-0.1012554,2.776445,-0.08050227,2.37629365921021,3.06793737411499,-7.61272764205933,0.9106446,0.03451272,0.01407182
"2.729 sec",-0.01271824,-0.1012564,2.776445,-0.08034575,2.37749814987183,3.06971192359924,-7.61315774917603,0.9105663,0.02999488,0.01309576
"2.73 sec",-0.01271033,-0.1012574,2.776444,-0.08018935,2.37870240211487,3.07148599624634,-7.61359167098999,0.9104881,0.02555303,0.01214474
"2.731 sec",-0.01270243,-0.1012584,2.776444,-0.08003306,2.37990641593933,3.07326006889343,-7.61402988433838,0.91041,0.02119305,0.01121904
"2.732 sec",-0.01269454,-0.1012594,2.776445,-0.0798769,2.38110995292664,3.07503390312195,-7.61447191238403,0.9103319,0.01691994,0.01031886
